Penllyn[122],Penllyn,Lansdale/Doylestown Line,N/A,3,Penllyn
Pennbrook[123],Pennbrook,Lansdale/Doylestown Line,N/A,4,Lansdale
Philmont[124],Philmont,West Trenton Line,N/A,3,Huntingdon Valley
Primos[125],Primos,Media/Elwyn Line,N/A,2,Aldan/Upper Darby Twp.[68]
Prospect Park[126],Prospect Park,Wilmington/Newark Line,N/A,2,Prospect Park
Queen Lane[127],Queen Lane,Chestnut Hill West Line,N/A,1,Philadelphia (Germantown)
Radnor[128],Radnor,Paoli/Thorndale Line,N/A,3,Radnor
Ridley Park[129],Ridley Park,Wilmington/Newark Line,N/A,3,Ridley Park
Rosemont[130],Rosemont,Paoli/Thorndale Line,N/A,3,Rosemont
Roslyn[131],Roslyn,Warminster Line,N/A,3,Roslyn
Rydal[132],Rydal,West Trenton Line,N/A,3,Rydal
Ryers[133],Ryers,Fox Chase Line,N/A,2,Philadelphia (Burholme)
Secane[134],Secane,Media/Elwyn Line,N/A,2,Secane
Sedgwick[135],Sedgwick,Chestnut Hill East Line,N/A,2,Philadelphia (East Mount Airy)
Sharon Hill[136],Sharon Hill,Wilmington/Newark Line,N/A,2,Sharon Hill
Somerton[137],Somerton,West Trenton Line,N/A,3,Philadelphia (Somerton)
Spring Mill[138],Spring Mill,Manayunk/Norristown Line,N/A,3,Spring Mill
St. Davids[139],St. Davids,Paoli/Thorndale Line,N/A,3,St. Davids
St. Martins[140],St. Martins,Chestnut Hill West Line,N/A,2,Philadelphia (Chestnut Hill)
Stenton[141],Stenton,Chestnut Hill East Line,N/A,2,Philadelphia (East Mount Airy)
Strafford[142],Strafford,Paoli/Thorndale Line,N/A,3,Strafford
Suburban Station[143],Suburban Station,"Airport Line
Chestnut Hill East Line
Chestnut Hill West Line
Cynwyd Line
Fox Chase Line
Lansdale/Doylestown Line
Manayunk/Norristown Line
Media/Elwyn Line
Paoli/Thorndale Line
Trenton Line
Warminster Line
West Trenton Line
Wilmington/Newark Line","Broad Street Line
Market–Frankford Line
Route 10
Route 11
Route 13
Route 34
Route 36",CCP,Philadelphia (Logan Square)
Swarthmore[144],Swarthmore,Media/Elwyn Line,N/A,3,Swarthmore
Tacony[145],Tacony,Trenton Line,N/A,2,Philadelphia (Tacony)
Temple University[146],Temple University,"Airport Line
Chestnut Hill East Line
Chestnut Hill West Line
Fox Chase Line
Lansdale/Doylestown Line
Manayunk/Norristown Line
Media/Elwyn Line
Paoli/Thorndale Line
Trenton Line
Warminster Line
West Trenton Line
Wilmington/Newark Line",N/A,CCP,Philadelphia (Temple University)
Thorndale[147],Thorndale,Paoli/Thorndale Line,N/A,4,Thorndale
Torresdale[148],Torresdale,Trenton Line,N/A,3,Philadelphia (Torresdale)
Trenton Transit Center[149],Trenton Transit Center,Trenton Line,"Amtrak:
Northeast Corridor
New Jersey Transit:Northeast Corridor Line
River Line",NJ,"Trenton, New Jersey"
Trevose[150],Trevose,West Trenton Line,N/A,3,Trevose
Tulpehocken[151],Tulpehocken,Chestnut Hill West Line,N/A,2,Philadelphia (Germantown)
University City[152],University City,"Airport Line
Media/Elwyn Line
Warminster Line
West Trenton Line
Wilmington/Newark Line",N/A,CCP,Philadelphia (University City)
Upsal[153],Upsal,Chestnut Hill West Line,N/A,2,Philadelphia (West Mount Airy)
Villanova[154],Villanova,Paoli/Thorndale Line,N/A,3,Villanova
Wallingford[155],Wallingford,Media/Elwyn Line,N/A,3,Wallingford
Warminster[156],Warminster,Warminster Line,N/A,3,Warminster Heights
Washington Lane[157],Washington Lane,Chestnut Hill East Line,N/A,2,Philadelphia (Germantown)
Wayne[158],Wayne,Paoli/Thorndale Line,N/A,3,Wayne
Wayne Junction[159],Wayne Junction,"Chestnut Hill East Line
Fox Chase Line
Lansdale/Doylestown Line
Warminster Line
West Trenton Line",N/A,1,Philadelphia (Nicetown)
West Trenton[160],West Trenton,West Trenton Line,N/A,NJ,"West Trenton, New Jersey"
Whitford[161],Whitford,Paoli/Thorndale Line,N/A,4,Exton
Willow Grove[162],Willow Grove,Warminster Line,N/A,3,Willow Grove
Wilmington[163],Wilmington,Wilmington/Newark Line,"Amtrak:
Northeast Corridor",4,"Wilmington, Delaware"
Wissahickon[164],Wissahickon,Manayunk/Norristown Line,N/A,2,Philadelphia (Wissahickon)
Wister[165],Wister,Chestnut Hill East Line,N/A,1,Philadelphia (Germantown)
Woodbourne[166],Woodbourne,West Trenton Line,N/A,4,Woodbourne
Wyndmoor[167],Wyndmoor,Chestnut Hill East Line,N/A,2,Philadelphia (Chestnut Hill)
Wynnefield Avenue[168],Wynnefield Avenue,Cynwyd Line,N/A,1,Philadelphia (Wynnefield)
Wynnewood[169],Wynnewood,Paoli/Thorndale Line,N/A,2,Wynnewood
Yardley[170],Yardley,West Trenton Line,N/A,4,Yardley
